"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,115.96k,117.0825u
,,115.98k,113.5823u
,,116k,113.0082u
,,116.02k,116.0975u
,,116.04k,121.9036u
,,116.06k,127.079u
,,116.08k,127.1508u
,,116.1k,120.1377u
,,116.12k,113.4981u
,,116.14k,113.6295u
,,116.16k,114.5599u
,,116.18k,111.8796u
,,116.2k,107.6131u
,,116.22k,106.2835u
,,116.24k,111.0745u
,,116.26k,116.7821u
,,116.28k,118.9351u
,,116.3k,116.3714u
,,116.32k,108.612u
,,116.34k,102.8214u
,,116.36k,105.4005u
,,116.38k,109.5286u
,,116.4k,107.9178u
,,116.42k,101.3348u
,,116.44k,94.63973u
,,116.46k,92.54798u
,,116.48k,93.94646u
,,116.5k,99.51088u
,,116.52k,105.6567u
,,116.54k,104.4125u
,,116.56k,98.98123u
,,116.58k,94.81824u
,,116.6k,91.74603u
,,116.62k,90.54975u
,,116.64k,90.16164u
,,116.66k,90.19552u
,,116.68k,94.16217u
,,116.7k,98.31424u
,,116.72k,98.47814u
,,116.74k,100.801u
,,116.76k,108.6678u
,,116.78k,115.2942u
,,116.8k,115.2634u
,,116.82k,112.514u
,,116.84k,112.2273u
,,116.86k,115.8994u
,,116.88k,121.6984u
,,116.9k,125.8984u
,,116.92k,132.6606u
,,116.94k,144.9721u
,,116.96k,156.3051u
,,116.98k,165.4411u
,,117k,174.4416u
,,117.02k,182.4682u
,,117.04k,190.9551u
,,117.06k,201.2363u
,,117.08k,211.4241u
,,117.1k,218.7747u
,,117.12k,222.0193u
,,117.14k,221.1734u
,,117.16k,217.6708u
,,117.18k,217.6559u
,,117.2k,222.0502u
,,117.22k,224.1297u
,,117.24k,224.4228u
,,117.26k,226.0609u
,,117.28k,227.8993u
,,117.3k,229.0282u
,,117.32k,228.9312u
,,117.34k,226.9795u
,,117.36k,223.2237u
,,117.38k,216.4867u
,,117.4k,211.3764u
,,117.42k,213.4303u
,,117.44k,219.2503u
,,117.46k,226.4365u
,,117.48k,232.4162u
,,117.5k,232.2438u
,,117.52k,224.9942u
,,117.54k,216.9534u
,,117.56k,214.2585u
,,117.58k,216.2749u
,,117.6k,221.4345u
,,117.62k,226.1838u
,,117.64k,225.5564u
,,117.66k,220.5969u
,,117.68k,215.3218u
,,117.7k,212.5247u
,,117.72k,214.8274u
,,117.74k,217.886u
,,117.76k,215.0847u
,,117.78k,210.3374u
,,117.8k,209.8231u
,,117.82k,211.3769u
,,117.84k,213.1461u
,,117.86k,216.4254u
,,117.88k,217.6134u
,,117.9k,215.2158u
,,117.92k,213.578u
,,117.94k,213.1721u
,,117.96k,214.3714u
,,117.98k,217.5159u
,,118k,217.0938u
,,118.02k,215.9972u
,,118.04k,219.9987u
,,118.06k,223.091u
,,118.08k,222.3779u
,,118.1k,220.0843u
,,118.12k,219.7453u
,,118.14k,222.2043u
,,118.16k,222.7375u
,,118.18k,222.157u
,,118.2k,221.9598u
,,118.22k,221.559u
,,118.24k,220.9972u
,,118.26k,220.2804u
,,118.28k,219.8668u
,,118.3k,217.1441u
,,118.32k,214.447u
,,118.34k,215.4203u
,,118.36k,216.9969u
,,118.38k,218.6044u
,,118.4k,220.1239u
,,118.42k,220.1904u
,,118.44k,218.6224u
,,118.46k,217.2504u
,,118.48k,219.4472u
,,118.5k,220.4399u
,,118.52k,215.991u
,,118.54k,213.5744u
,,118.56k,216.1799u
,,118.58k,218.6725u
,,118.6k,220.8895u
,,118.62k,224.8216u
,,118.64k,228.8028u
,,118.66k,230.2349u
,,118.68k,229.0947u
,,118.7k,224.755u
,,118.72k,220.3723u
,,118.74k,220.8813u
,,118.76k,222.0146u
,,118.78k,223.0253u
,,118.8k,227.3963u
,,118.82k,230.8153u
