"Frequency, Hz - Peaks"	Magnitude (V) - Peaks	"Frequency, Hz - Signal"	Magnitude (V) - Signal
		534.02k	240.6702u
		534.08k	243.3152u
		534.14k	235.3356u
		534.2k	237.8777u
		534.26k	245.2813u
		534.32k	242.8496u
		534.38k	245.0861u
		534.44k	243.0176u
		534.5k	247.5838u
		534.56k	247.9038u
		534.62k	240.355u
		534.68k	242.9208u
		534.74k	245.3602u
		534.8k	250.6588u
		534.86k	239.3827u
		534.92k	245.8307u
		534.98k	246.7312u
		535.04k	247.4647u
		535.1k	248.3223u
		535.16k	252.4498u
		535.22k	243.9333u
		535.28k	254.4806u
		535.34k	253.0476u
		535.4k	248.5907u
		535.46k	246.6872u
		535.52k	255.1793u
		535.58k	252.9896u
		535.64k	252.364u
		535.7k	254.3944u
		535.76k	258.4188u
		535.82k	249.5772u
		535.88k	244.4983u
		535.94k	263.5819u
		536k	259.4081u
		536.06k	256.6239u
		536.12k	254.8087u
		536.18k	255.1329u
		536.24k	255.6741u
		536.3k	265.9297u
		536.36k	269.8885u
		536.42k	267.0685u
		536.48k	259.9339u
		536.54k	265.5838u
		536.6k	268.1483u
		536.66k	261.1382u
		536.72k	250.8314u
		536.78k	244.3632u
		536.84k	252.5118u
		536.9k	256.403u
		536.96k	264.5797u
		537.02k	272.8712u
		537.08k	266.4206u
		537.14k	262.4129u
		537.2k	258.091u
		537.26k	257.2197u
		537.32k	266.3271u
		537.38k	272.5942u
		537.44k	278.6768u
		537.5k	276.8956u
		537.56k	272.1339u
		537.62k	267.9938u
		537.68k	276.3355u
		537.74k	271.6251u
		537.8k	275.8027u
		537.86k	284.4379u
		537.92k	274.4607u
		537.98k	263.0862u
		538.04k	282.0864u
		538.1k	292.2662u
		538.16k	270.371u
		538.22k	267.3885u
		538.28k	280.7037u
		538.34k	269.3209u
		538.4k	283.6633u
		538.46k	280.3697u
		538.52k	282.2735u
		538.58k	281.9405u
		538.64k	280.5454u
		538.7k	277.4297u
		538.76k	272.8227u
		538.82k	275.9383u
		538.88k	274.7369u
		538.94k	289.3707u
		539k	300.1977u
		539.06k	297.2615u
		539.12k	294.4963u
		539.18k	280.3419u
		539.24k	275.1065u
		539.3k	275.159u
		539.36k	289.3088u
		539.42k	281.9207u
		539.48k	271.6776u
		539.54k	283.2079u
		539.6k	289.2907u
		539.66k	291.3948u
		539.72k	297.8528u
		539.78k	305.3068u
		539.84k	297.1105u
		539.9k	284.9334u
		539.96k	289.9119u
		540.02k	297.2668u
		540.08k	300.8305u
		540.14k	293.1415u
		540.2k	290.1148u
		540.26k	296.1961u
		540.32k	299.7242u
		540.38k	296.5937u
		540.44k	280.8676u
		540.5k	294.7727u
		540.56k	310.702u
		540.62k	297.5605u
		540.68k	302.2412u
		540.74k	296.6056u
		540.8k	288.4761u
		540.86k	298.9427u
		540.92k	302.4873u
		540.98k	301.9483u
		541.04k	302.7696u
		541.1k	306.2026u
		541.16k	301.4047u
		541.22k	302.9173u
		541.28k	307.4536u
		541.34k	312.7865u
		541.4k	316.5778u
		541.46k	307.2552u
		541.52k	290.4957u
		541.58k	296.7693u
		541.64k	306.9961u
		541.7k	317.5606u
		541.76k	312.3506u
		541.82k	307.3914u
		541.88k	303.3817u
		541.94k	312.9524u
		542k	300.4698u
		542.06k	311.5381u
		542.12k	310.2249u
		542.18k	295.13u
		542.24k	298.1968u
		542.3k	297.1366u
		542.36k	309.8066u
		542.42k	307.4445u
		542.48k	309.8141u
		542.54k	329.6112u
		542.6k	325.4755u
		542.66k	332.1172u
		542.72k	325.8181u
		542.78k	321.8469u
		542.84k	324.8715u
		542.9k	324.7664u
		542.96k	335.2859u
		543.02k	334.6816u
		543.08k	322.0891u
		543.14k	330.8165u
		543.2k	324.8778u
		543.26k	337.2715u
		543.32k	338.8906u
		543.38k	325.7165u
		543.44k	328.733u
		543.5k	341.6524u
		543.56k	342.8904u
		543.62k	339.2403u
		543.68k	339.3797u
		543.74k	342.9791u
		543.8k	352.7331u
		543.86k	351.2585u
		543.92k	339.7291u
		543.98k	340.0968u
		544.04k	334.0106u
		544.1k	338.5909u
		544.16k	357.634u
		544.22k	358.5034u
		544.28k	355.7053u
		544.34k	347.3291u
		544.4k	349.7155u
		544.46k	341.0508u
		544.52k	339.1116u
		544.58k	349.9313u
		544.64k	369.1991u
		544.7k	371.5u
		544.76k	377.9381u
		544.82k	370.9645u
		544.88k	376.6495u
		544.94k	365.926u
		545k	366.4676u
		545.06k	371.5525u
		545.12k	370.5691u
		545.18k	377.6886u
		545.24k	387.0314u
		545.3k	389.4115u
		545.36k	385.9155u
		545.42k	390.6356u
		545.48k	381.2338u
		545.54k	392.8854u
		545.6k	384.5548u
		545.66k	392.2672u
		545.72k	400.4296u
		545.78k	396.7091u
		545.84k	395.4493u
		545.9k	398.623u
		545.96k	409.5191u
		546.02k	405.9147u
		546.08k	403.0636u
		546.14k	405.0539u
		546.2k	406.8189u
		546.26k	400.0744u
		546.32k	405.1881u
		546.38k	404.0934u
		546.44k	408.6537u
		546.5k	425.3243u
		546.56k	424.349u
		546.62k	419.8681u
		546.68k	414.4973u
		546.74k	426.1959u
		546.8k	431.5568u
		546.86k	426.8546u
		546.92k	429.5301u
		546.98k	433.706u
		547.04k	433.6961u
		547.1k	435.11u
		547.16k	433.5893u
		547.22k	432.3794u
		547.28k	442.3662u
		547.34k	436.1757u
		547.4k	447.1626u
		547.46k	454.9479u
		547.52k	455.2124u
		547.58k	453.8755u
		547.64k	456.0276u
		547.7k	460.6179u
		547.76k	464.438u
		547.82k	457.5443u
		547.88k	459.0383u
		547.94k	460.4169u
		548k	459.1135u
		548.06k	466.8851u
		548.12k	465.1019u
		548.18k	467.3663u
		548.24k	475.3428u
		548.3k	480.0313u
		548.36k	473.3156u
		548.42k	479.9971u
		548.48k	490.07u
		548.54k	478.7284u
		548.6k	470.6596u
		548.66k	483.0344u
		548.72k	488.751u
		548.78k	482.4049u
		548.84k	474.4264u
		548.9k	484.8346u
		548.96k	519.238u
		549.02k	499.5103u
		549.08k	507.4323u
		549.14k	504.2579u
		549.2k	499.3527u
		549.26k	507.2185u
		549.32k	517.6694u
		549.38k	510.0479u
		549.44k	519.3563u
		549.5k	517.9252u
		549.56k	525.1881u
		549.62k	517.5097u
		549.68k	515.0975u
		549.74k	537.0866u
		549.8k	533.5073u
		549.86k	517.9101u
		549.92k	511.8666u
		549.98k	522.7477u
		550.04k	540.3399u
		550.1k	531.3577u
		550.16k	533.2974u
		550.22k	534.7526u
		550.28k	533.3821u
		550.34k	542.1647u
		550.4k	548.3263u
		550.46k	541.8889u
		550.52k	549.358u
		550.58k	550.8051u
		550.64k	550.1957u
		550.7k	541.9748u
		550.76k	547.5658u
		550.82k	550.0424u
		550.88k	550.4744u
		550.94k	556.946u
		551k	568.208u
		551.06k	566.3031u
		551.12k	562.7917u
		551.18k	562.0593u
		551.24k	559.4455u
		551.3k	560.217u
		551.36k	588.8832u
		551.42k	595.3659u
		551.48k	595.208u
		551.54k	580.453u
		551.6k	591.4497u
		551.66k	577.1224u
		551.72k	615.5251u
		551.78k	621.5342u
		551.84k	626.7534u
		551.9k	625.1627u
		551.96k	602.1684u
		552.02k	600.9744u
		552.08k	595.5336u
		552.14k	613.7743u
		552.2k	623.1954u
		552.26k	617.819u
		552.32k	611.2917u
		552.38k	622.7864u
		552.44k	623.8534u
		552.5k	613.8699u
		552.56k	617.9466u
		552.62k	636.7771u
		552.68k	651.2381u
		552.74k	652.4233u
		552.8k	647.6273u
		552.86k	643.0554u
		552.92k	625.1758u
		552.98k	630.2065u
		553.04k	647.3507u
		553.1k	659.3046u
		553.16k	663.2961u
		553.22k	665.9973u
		553.28k	658.7868u
		553.34k	646.2975u
		553.4k	650.4013u
		553.46k	655.2536u
		553.52k	667.5755u
		553.58k	664.5394u
		553.64k	671.7383u
		553.7k	663.329u
		553.76k	666.8092u
		553.82k	670.1005u
		553.88k	657.1697u
		553.94k	673.8197u
		554k	677.1435u
		554.06k	662.7527u
		554.12k	674.2469u
		554.18k	671.7102u
		554.24k	672.2939u
		554.3k	671.1554u
		554.36k	686.2788u
		554.42k	702.2685u
		554.48k	693.0031u
		554.54k	673.1875u
		554.6k	680.3713u
		554.66k	687.263u
		554.72k	700.188u
		554.78k	700.0142u
		554.84k	695.0077u
		554.9k	684.0285u
		554.96k	686.9813u
		555.02k	709.891u
		555.08k	709.6937u
		555.14k	703.0639u
		555.2k	707.4477u
		555.26k	713.7136u
		555.32k	720.2014u
		555.38k	710.402u
		555.44k	718.7521u
		555.5k	714.987u
		555.56k	718.2793u
		555.62k	711.0326u
		555.68k	703.2024u
		555.74k	715.7351u
		555.8k	710.536u
		555.86k	715.674u
		555.92k	709.6575u
		555.98k	723.8715u
		556.04k	722.5181u
		556.1k	722.8679u
		556.16k	726.1561u
		556.22k	720.4385u
		556.28k	726.5165u
		556.34k	721.197u
		556.4k	721.4875u
		556.46k	722.2454u
		556.52k	730.6779u
		556.58k	728.0177u
		556.64k	735.3644u
		556.7k	740.315u
		556.76k	740.8091u
		556.82k	733.4814u
		556.88k	726.5381u
		556.94k	736.6385u
		557k	725.8926u
		557.06k	715.8478u
		557.12k	712.6761u
		557.18k	714.3623u
		557.24k	716.3231u
		557.3k	709.6762u
		557.36k	718.3444u
		557.42k	719.5786u
		557.48k	713.6894u
		557.54k	712.2236u
		557.6k	717.1184u
		557.66k	727.6407u
		557.72k	719.5062u
		557.78k	712.3237u
		557.84k	707.2775u
		557.9k	702.7473u
		557.96k	687.6472u
		558.02k	679.0587u
		558.08k	680.1623u
		558.14k	690.4276u
		558.2k	689.5989u
		558.26k	680.7964u
		558.32k	681.9462u
		558.38k	677.4799u
		558.44k	684.3099u
		558.5k	668.6268u
		558.56k	668.627u
		558.62k	680.4216u
		558.68k	674.1616u
		558.74k	672.7472u
		558.8k	667.5924u
		558.86k	665.1439u
		558.92k	655.7247u
		558.98k	671.4082u
		559.04k	671.8284u
		559.1k	671.3386u
		559.16k	664.9853u
		559.22k	670.4699u
		559.28k	658.596u
		559.34k	645.6093u
		559.4k	646.3838u
		559.46k	645.73u
		559.52k	653.8606u
		559.58k	654.3772u
		559.64k	656.2094u
		559.7k	643.7626u
		559.76k	638.6076u
		559.82k	644.5484u
		559.88k	626.1831u
		559.94k	636.4528u
		560k	639.9502u
		560.06k	618.2571u
		560.12k	613.4289u
		560.18k	629.0884u
		560.24k	623.8051u
		560.3k	621.9975u
		560.36k	622.0684u
		560.42k	628.4264u
		560.48k	607.7013u
		560.54k	594.3968u
		560.6k	590.7774u
		560.66k	594.325u
		560.72k	597.6148u
		560.78k	601.6249u
		560.84k	609.2108u
		560.9k	603.7878u
		560.96k	605.3037u
		561.02k	597.4973u
		561.08k	594.3184u
		561.14k	588.4767u
