"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,113.48k,153.1251u
,,113.5k,141.1257u
,,113.52k,129.9142u
,,113.54k,122.6129u
,,113.56k,117.5476u
,,113.58k,112.9854u
,,113.6k,109.6582u
,,113.62k,106.0326u
,,113.64k,97.45602u
,,113.66k,87.77577u
,,113.68k,83.65438u
,,113.7k,80.18896u
,,113.72k,74.61878u
,,113.74k,74.10259u
,,113.76k,78.20153u
,,113.78k,77.09684u
,,113.8k,70.17317u
,,113.82k,64.59632u
,,113.84k,65.50157u
,,113.86k,71.74317u
,,113.88k,74.35769u
,,113.9k,71.43552u
,,113.92k,73.90154u
,,113.94k,81.78237u
,,113.96k,85.03933u
,,113.98k,84.24591u
,,114k,83.25475u
,,114.02k,82.53544u
,,114.04k,81.04157u
,,114.06k,78.74537u
,,114.08k,78.27939u
,,114.1k,79.84785u
,,114.12k,83.06999u
,,114.14k,84.79087u
,,114.16k,85.22957u
,,114.18k,91.71307u
,,114.2k,100.5055u
,,114.22k,100.7667u
,,114.24k,97.9549u
,,114.26k,100.6962u
,,114.28k,103.7171u
,,114.3k,102.8321u
,,114.32k,101.7221u
,,114.34k,101.5512u
,,114.36k,102.7674u
,,114.38k,104.1769u
,,114.4k,102.4242u
,,114.42k,102.2181u
,,114.44k,106.5665u
,,114.46k,108.3591u
,,114.48k,107.4508u
,,114.5k,109.3327u
,,114.52k,112.5686u
,,114.54k,115.9059u
,,114.56k,117.756u
,,114.58k,115.3527u
,,114.6k,112.6316u
,,114.62k,113.9163u
,,114.64k,116.2052u
,,114.66k,117.7898u
,,114.68k,117.7908u
,,114.7k,117.9615u
,,114.72k,120.0901u
,,114.74k,120.5025u
,,114.76k,121.7799u
,,114.78k,124.156u
,,114.8k,123.5806u
,,114.82k,120.2133u
,,114.84k,112.3891u
,,114.86k,107.8384u
,,114.88k,114.9764u
,,114.9k,124.0935u
,,114.92k,126.8714u
,,114.94k,126.8866u
,,114.96k,124.8623u
,,114.98k,119.3559u
,,115k,117.8062u
,,115.02k,124.2987u
,,115.04k,129.8916u
,,115.06k,130.4456u
,,115.08k,130.9839u
,,115.1k,131.6605u
,,115.12k,131.8568u
,,115.14k,132.3027u
,,115.16k,130.2757u
,,115.18k,128.9839u
,,115.2k,131.6336u
,,115.22k,132.6511u
,,115.24k,131.1639u
,,115.26k,130.6803u
,,115.28k,132.3776u
,,115.3k,136.0943u
,,115.32k,137.6158u
,,115.34k,135.5788u
,,115.36k,132.1073u
,,115.38k,129.1376u
,,115.4k,129.0543u
,,115.42k,129.4251u
,,115.44k,127.5725u
,,115.46k,126.9991u
,,115.48k,128.9813u
,,115.5k,132.5633u
,,115.52k,137.9089u
,,115.54k,139.0554u
,,115.56k,133.8109u
,,115.58k,131.3887u
,,115.6k,133.1062u
,,115.62k,132.9699u
,,115.64k,131.7401u
,,115.66k,135.1459u
,,115.68k,145.0442u
,,115.7k,152.039u
,,115.72k,148.125u
,,115.74k,140.6202u
,,115.76k,141.9174u
,,115.78k,149.8477u
,,115.8k,153.9568u
,,115.82k,156.2441u
,,115.84k,160.4808u
,,115.86k,161.6616u
,,115.88k,160.7498u
,,115.9k,162.5469u
,,115.92k,167.8591u
,,115.94k,174.0439u
,,115.96k,177.1276u
,,115.98k,176.9117u
,,116k,175.1137u
,,116.02k,174.068u
,,116.04k,176.6424u
,,116.06k,181.5654u
,,116.08k,182.9048u
,,116.1k,179.1423u
,,116.12k,172.8626u
,,116.14k,166.5814u
,,116.16k,169.3874u
,,116.18k,182.562u
,,116.2k,191.1675u
,,116.22k,190.9598u
,,116.24k,190.4549u
,,116.26k,189.8418u
,,116.28k,188.2868u
,,116.3k,188.7684u
,,116.32k,189.193u
,,116.34k,190.6855u
,,116.36k,192.3547u
,,116.38k,189.6976u
,,116.4k,185.4391u
,,116.42k,181.9305u
,,116.44k,181.9863u
,,116.46k,183.9044u
,,116.48k,181.8474u
,,116.5k,180.9751u
,,116.52k,185.2407u
,,116.54k,188.0622u
,,116.56k,184.4122u
,,116.58k,181.8826u
,,116.6k,187.755u
,,116.62k,191.7775u
,,116.64k,185.5159u
,,116.66k,178.0391u
,,116.68k,176.7459u
,,116.7k,177.0722u
,,116.72k,173.1788u
,,116.74k,169.609u
,,116.76k,169.792u
,,116.78k,168.6232u
,,116.8k,167.1064u
,,116.82k,168.1328u
,,116.84k,167.5855u
,,116.86k,165.816u
,,116.88k,167.2764u
,,116.9k,167.1167u
,,116.92k,161.8671u
,,116.94k,157.2691u
,,116.96k,153.1429u
,,116.98k,148.7098u
,,117k,146.3451u
,,117.02k,145.0798u
,,117.04k,144.709u
,,117.06k,142.8059u
,,117.08k,137.5405u
,,117.1k,133.7713u
,,117.12k,136.6717u
,,117.14k,142.5686u
,,117.16k,143.6125u
,,117.18k,140.5228u
,,117.2k,137.6188u
,,117.22k,136.9821u
,,117.24k,136.6144u
,,117.26k,134.9457u
,,117.28k,134.517u
,,117.3k,135.3362u
,,117.32k,136.233u
,,117.34k,135.8623u
,,117.36k,134.5497u
,,117.38k,134.2341u
,,117.4k,135.1239u
,,117.42k,136.8197u
,,117.44k,138.0762u
,,117.46k,141.8105u
,,117.48k,151.6848u
,,117.5k,163.5828u
,,117.52k,173.7269u
,,117.54k,183.9058u
,,117.56k,196.3811u
,,117.58k,212.3583u
,,117.6k,231.3784u
,,117.62k,251.0226u
,,117.64k,268.9104u
,,117.66k,288.4264u
,,117.68k,314.2483u
,,117.7k,344.2067u
,,117.72k,374.0901u
,,117.74k,400.9946u
,,117.76k,423.2384u
,,117.78k,442.3993u
,,117.8k,461.8975u
,,117.82k,480.6635u
,,117.84k,494.5727u
,,117.86k,501.5773u
,,117.88k,504.1857u
,,117.9k,506.6625u
,,117.92k,505.9519u
,,117.94k,500.7976u
,,117.96k,495.8764u
,,117.98k,493.6618u
,,118k,492.0721u
,,118.02k,485.3429u
,,118.04k,473.8039u
,,118.06k,466.9033u
,,118.08k,465.9138u
,,118.1k,463.9924u
,,118.12k,459.6844u
,,118.14k,454.664u
,,118.16k,450.3191u
,,118.18k,442.0649u
,,118.2k,431.8436u
,,118.22k,429.8504u
,,118.24k,431.0143u
,,118.26k,426.4505u
,,118.28k,418.8747u
,,118.3k,414.1672u
,,118.32k,414.2208u
,,118.34k,413.1096u
,,118.36k,405.4827u
,,118.38k,397.9929u
,,118.4k,398.4594u
,,118.42k,403.9397u
,,118.44k,408.225u
,,118.46k,408.181u
,,118.48k,404.0667u
,,118.5k,398.1302u
,,118.52k,391.7585u
,,118.54k,389.2918u
,,118.56k,390.8089u
,,118.58k,390.0313u
,,118.6k,388.8966u
,,118.62k,387.725u
,,118.64k,385.0013u
,,118.66k,388.0678u
,,118.68k,395.6609u
,,118.7k,399.2842u
,,118.72k,400.5722u
,,118.74k,401.2533u
,,118.76k,400.0702u
,,118.78k,398.1634u
,,118.8k,393.5045u
,,118.82k,387.7817u
,,118.84k,389.5668u
,,118.86k,396.7628u
,,118.88k,397.0908u
,,118.9k,391.3824u
,,118.92k,390.6714u
,,118.94k,393.6554u
,,118.96k,393.3058u
,,118.98k,392.0405u
,,119k,393.4827u
,,119.02k,396.7895u
,,119.04k,400.5919u
,,119.06k,403.1835u
,,119.08k,403.8599u
,,119.1k,406.7063u
,,119.12k,411.8954u
,,119.14k,413.3066u
,,119.16k,410.6434u
,,119.18k,408.2703u
,,119.2k,409.6978u
,,119.22k,413.1519u
,,119.24k,412.2497u
,,119.26k,406.5729u
,,119.28k,401.8802u
,,119.3k,402.1582u
,,119.32k,404.893u
,,119.34k,404.7089u
,,119.36k,402.7427u
,,119.38k,402.0799u
,,119.4k,402.8586u
,,119.42k,406.5108u
,,119.44k,410.9999u
,,119.46k,411.5984u
,,119.48k,409.3307u
,,119.5k,407.1806u
,,119.52k,403.6127u
,,119.54k,396.0129u
,,119.56k,389.6545u
,,119.58k,390.3328u
,,119.6k,392.5172u
,,119.62k,390.0746u
,,119.64k,388.316u
,,119.66k,389.4299u
,,119.68k,387.1471u
,,119.7k,383.9108u
,,119.72k,382.4177u
,,119.74k,379.7601u
,,119.76k,378.0728u
,,119.78k,377.6302u
,,119.8k,374.2895u
,,119.82k,371.1303u
,,119.84k,372.4657u
,,119.86k,374.4727u
,,119.88k,374.3005u
,,119.9k,371.618u
,,119.92k,367.1506u
,,119.94k,365.2836u
,,119.96k,368.0851u
,,119.98k,370.5726u
,,120k,370.7675u
,,120.02k,373.1015u
,,120.04k,376.8911u
,,120.06k,378.0097u
,,120.08k,376.1033u
,,120.1k,376.0436u
,,120.12k,379.4635u
,,120.14k,384.1585u
,,120.16k,387.9252u
,,120.18k,387.0497u
,,120.2k,386.1384u
,,120.22k,389.6158u
,,120.24k,395.5093u
,,120.26k,398.6192u
,,120.28k,394.6852u
,,120.3k,391.7332u
,,120.32k,394.5911u
,,120.34k,399.4625u
,,120.36k,402.759u
,,120.38k,404.8182u
,,120.4k,410.2375u
,,120.42k,416.1045u
,,120.44k,418.9126u
,,120.46k,420.3982u
,,120.48k,423.2818u
,,120.5k,427.9873u
,,120.52k,428.9735u
,,120.54k,425.2982u
,,120.56k,422.8412u
,,120.58k,425.3815u
,,120.6k,432.7685u
,,120.62k,440.2227u
,,120.64k,442.3734u
,,120.66k,441.7279u
,,120.68k,441.2999u
,,120.7k,444.2193u
,,120.72k,456.238u
,,120.74k,471.2438u
,,120.76k,478.3533u
,,120.78k,477.9108u
,,120.8k,475.1558u
,,120.82k,472.6643u
,,120.84k,473.9417u
,,120.86k,479.0439u
,,120.88k,485.3458u
,,120.9k,494.1092u
,,120.92k,500.6361u
,,120.94k,501.7889u
,,120.96k,504.0115u
,,120.98k,507.0228u
,,121k,508.148u
,,121.02k,511.9182u
