"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,115.86k,183.491u
,,115.88k,187.5393u
,,115.9k,192.5978u
,,115.92k,196.3325u
,,115.94k,197.1463u
,,115.96k,193.1892u
,,115.98k,189.064u
,,116k,193.3519u
,,116.02k,202.9032u
,,116.04k,204.9221u
,,116.06k,198.9893u
,,116.08k,196.0324u
,,116.1k,197.2158u
,,116.12k,197.2136u
,,116.14k,195.9438u
,,116.16k,198.1179u
,,116.18k,202.7078u
,,116.2k,204.9242u
,,116.22k,207.6523u
,,116.24k,212.9577u
,,116.26k,212.1883u
,,116.28k,202.2898u
,,116.3k,193.1325u
,,116.32k,190.7544u
,,116.34k,192.3022u
,,116.36k,194.292u
,,116.38k,194.4842u
,,116.4k,191.9256u
,,116.42k,192.3069u
,,116.44k,196.4787u
,,116.46k,194.6461u
,,116.48k,188.1437u
,,116.5k,186.5304u
,,116.52k,188.8255u
,,116.54k,190.817u
,,116.56k,189.7586u
,,116.58k,185.8178u
,,116.6k,181.4936u
,,116.62k,178.1674u
,,116.64k,176.7917u
,,116.66k,175.2178u
,,116.68k,172.067u
,,116.7k,170.4403u
,,116.72k,173.98u
,,116.74k,177.8466u
,,116.76k,177.2417u
,,116.78k,177.2539u
,,116.8k,178.3017u
,,116.82k,177.3421u
,,116.84k,176.2134u
,,116.86k,176.7998u
,,116.88k,178.1066u
,,116.9k,178.0083u
,,116.92k,177.2165u
,,116.94k,177.6121u
,,116.96k,180.4833u
,,116.98k,182.143u
,,117k,178.8485u
,,117.02k,174.6u
,,117.04k,174.1351u
,,117.06k,178.1514u
,,117.08k,183.6906u
,,117.1k,188.3954u
,,117.12k,191.1855u
,,117.14k,191.7616u
,,117.16k,194.2484u
,,117.18k,201.0186u
,,117.2k,208.4984u
,,117.22k,213.8974u
,,117.24k,218.3017u
,,117.26k,225.9395u
,,117.28k,234.6356u
,,117.3k,238.3471u
,,117.32k,237.3251u
,,117.34k,234.2984u
,,117.36k,235.9611u
,,117.38k,247.6268u
,,117.4k,259.8726u
,,117.42k,257.9095u
,,117.44k,245.4246u
,,117.46k,240.7169u
,,117.48k,245.3979u
,,117.5k,249.3675u
,,117.52k,251.9133u
,,117.54k,254.1069u
,,117.56k,255.2793u
,,117.58k,256.7445u
,,117.6k,258.9685u
,,117.62k,259.4402u
,,117.64k,259.3543u
,,117.66k,260.7087u
,,117.68k,262.4125u
,,117.7k,266.8927u
,,117.72k,269.9467u
,,117.74k,263.6018u
,,117.76k,254.2078u
,,117.78k,255.4151u
,,117.8k,264.1563u
,,117.82k,266.817u
,,117.84k,261.7583u
,,117.86k,256.5031u
,,117.88k,257.1929u
,,117.9k,260.459u
,,117.92k,259.3709u
,,117.94k,256.5623u
,,117.96k,256.2959u
,,117.98k,256.2241u
,,118k,254.979u
,,118.02k,254.7637u
,,118.04k,255.8751u
,,118.06k,258.2169u
,,118.08k,261.4336u
,,118.1k,262.5387u
,,118.12k,263.1304u
,,118.14k,262.6268u
,,118.16k,258.7633u
,,118.18k,256.8415u
,,118.2k,260.16u
,,118.22k,266.0015u
,,118.24k,269.5895u
,,118.26k,269.1095u
,,118.28k,266.6953u
,,118.3k,264.4893u
,,118.32k,264.7127u
,,118.34k,266.6019u
,,118.36k,269.8086u
,,118.38k,277.7125u
,,118.4k,289.1872u
,,118.42k,300.4364u
,,118.44k,309.629u
,,118.46k,317.6657u
,,118.48k,325.8386u
,,118.5k,333.0041u
,,118.52k,341.2723u
,,118.54k,351.8229u
,,118.56k,358.9983u
,,118.58k,364.0467u
,,118.6k,374.7586u
,,118.62k,388.3569u
,,118.64k,396.1497u
,,118.66k,397.9903u
,,118.68k,399.4936u
,,118.7k,400.031u
,,118.72k,399.0361u
,,118.74k,398.6403u
,,118.76k,399.4137u
,,118.78k,400.9343u
,,118.8k,400.158u
,,118.82k,397.5539u
,,118.84k,400.6965u
,,118.86k,409.851u
,,118.88k,412.6123u
,,118.9k,406.7947u
,,118.92k,403.7137u
,,118.94k,405.8451u
,,118.96k,406.9879u
,,118.98k,407.3931u
,,119k,411.1194u
,,119.02k,417.1281u
,,119.04k,420.3358u
,,119.06k,417.0861u
,,119.08k,411.4685u
,,119.1k,410.9127u
,,119.12k,414.8872u
,,119.14k,418.4416u
,,119.16k,420.5713u
,,119.18k,424.985u
,,119.2k,432.4892u
,,119.22k,438.2075u
,,119.24k,439.9318u
,,119.26k,437.9078u
,,119.28k,433.8728u
,,119.3k,432.4908u
,,119.32k,437.0251u
,,119.34k,444.0138u
,,119.36k,448.6465u
,,119.38k,451.1176u
,,119.4k,453.2558u
,,119.42k,456.3877u
,,119.44k,457.2129u
,,119.46k,455.7421u
,,119.48k,456.6458u
,,119.5k,459.1254u
,,119.52k,462.8935u
,,119.54k,466.6312u
,,119.56k,469.4805u
,,119.58k,470.9645u
,,119.6k,473.7905u
,,119.62k,480.4272u
,,119.64k,482.022u
,,119.66k,478.4266u
,,119.68k,476.4744u
,,119.7k,475.9081u
,,119.72k,480.7174u
,,119.74k,490.1553u
,,119.76k,494.1374u
,,119.78k,494.9204u
,,119.8k,498.5212u
,,119.82k,502.5231u
,,119.84k,506.9827u
,,119.86k,511.1543u
,,119.88k,510.1578u
,,119.9k,506.9362u
,,119.92k,507.9583u
,,119.94k,509.7814u
,,119.96k,513.7142u
,,119.98k,522.2648u
,,120k,526.7859u
,,120.02k,523.8122u
,,120.04k,520.8007u
,,120.06k,523.7547u
,,120.08k,528.9291u
,,120.1k,532.584u
,,120.12k,534.8653u
,,120.14k,535.9415u
,,120.16k,538.8463u
,,120.18k,542.7236u
,,120.2k,544.7258u
,,120.22k,549.5094u
,,120.24k,557.5163u
,,120.26k,560.1218u
,,120.28k,556.5499u
,,120.3k,554.545u
,,120.32k,559.8761u
,,120.34k,569.8547u
,,120.36k,573.1095u
,,120.38k,569.3735u
,,120.4k,569.4052u
,,120.42k,574.0884u
,,120.44k,575.4087u
,,120.46k,570.9671u
,,120.48k,568.3898u
,,120.5k,569.4028u
,,120.52k,569.2354u
,,120.54k,569.006u
,,120.56k,574.041u
,,120.58k,584.4665u
,,120.6k,594.4578u
,,120.62k,601.0506u
,,120.64k,603.6619u
,,120.66k,604.6515u
,,120.68k,607.8017u
,,120.7k,612.4534u
,,120.72k,615.9975u
,,120.74k,618.6608u
,,120.76k,622.8322u
,,120.78k,627.0001u
,,120.8k,628.4702u
,,120.82k,629.6304u
,,120.84k,634.9381u
,,120.86k,640.8941u
,,120.88k,644.6451u
,,120.9k,651.1317u
,,120.92k,658.3992u
,,120.94k,663.2026u
,,120.96k,668.1908u
,,120.98k,673.3365u
,,121k,677.4832u
,,121.02k,682.6851u
,,121.04k,689.9675u
,,121.06k,697.7943u
,,121.08k,704.3795u
,,121.1k,709.975u
,,121.12k,714.1661u
,,121.14k,712.7724u
,,121.16k,708.6068u
,,121.18k,708.3726u
,,121.2k,710.2367u
,,121.22k,711.4202u
,,121.24k,715.1826u
