"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,112.88k,313.0301u
,,112.9k,305.6602u
,,112.92k,297.0231u
,,112.94k,294.3096u
,,112.96k,298.8751u
,,112.98k,302.6411u
,,113k,301.5899u
,,113.02k,300.323u
,,113.04k,300.8099u
,,113.06k,300.773u
,,113.08k,294.7237u
,,113.1k,285.1045u
,,113.12k,281.3715u
,,113.14k,279.9673u
,,113.16k,274.2503u
,,113.18k,268.7056u
,,113.2k,267.8157u
,,113.22k,269.7685u
,,113.24k,271.3218u
,,113.26k,272.4366u
,,113.28k,271.9997u
,,113.3k,267.6014u
,,113.32k,262.0919u
,,113.34k,254.4156u
,,113.36k,243.4846u
,,113.38k,237.1318u
,,113.4k,236.6327u
,,113.42k,234.9989u
,,113.44k,231.3438u
,,113.46k,228.3606u
,,113.48k,225.5302u
,,113.5k,220.3249u
,,113.52k,213.1021u
,,113.54k,208.9939u
,,113.56k,207.5172u
,,113.58k,201.4677u
,,113.6k,193.4688u
,,113.62k,191.628u
,,113.64k,190.9504u
,,113.66k,184.1315u
,,113.68k,176.6829u
,,113.7k,174.8012u
,,113.72k,174.1684u
,,113.74k,168.1029u
,,113.76k,159.7798u
,,113.78k,153.2122u
,,113.8k,147.0333u
,,113.82k,141.0917u
,,113.84k,136.9584u
,,113.86k,135.6986u
,,113.88k,134.9742u
,,113.9k,131.5398u
,,113.92k,126.1323u
,,113.94k,119.9745u
,,113.96k,114.9419u
,,113.98k,112.8012u
,,114k,111.9991u
,,114.02k,110.9017u
,,114.04k,108.9213u
,,114.06k,106.925u
,,114.08k,105.2732u
,,114.1k,104.3085u
,,114.12k,102.0185u
,,114.14k,98.77988u
,,114.16k,97.13824u
,,114.18k,95.14053u
,,114.2k,93.41779u
,,114.22k,91.83445u
,,114.24k,89.21153u
,,114.26k,86.45085u
,,114.28k,83.21667u
,,114.3k,81.8625u
,,114.32k,81.96391u
,,114.34k,77.73795u
,,114.36k,71.4146u
,,114.38k,71.22195u
,,114.4k,74.09659u
,,114.42k,75.75272u
,,114.44k,75.05077u
,,114.46k,69.49638u
,,114.48k,65.48379u
,,114.5k,67.13549u
,,114.52k,69.98364u
,,114.54k,72.84662u
,,114.56k,72.12488u
,,114.58k,66.62376u
,,114.6k,61.43982u
,,114.62k,59.44946u
,,114.64k,60.38774u
,,114.66k,60.6377u
,,114.68k,60.90834u
,,114.7k,65.96605u
,,114.72k,70.14776u
,,114.74k,66.94888u
,,114.76k,62.57206u
,,114.78k,64.39668u
,,114.8k,70.7279u
,,114.82k,76.87035u
,,114.84k,76.27197u
,,114.86k,70.15302u
,,114.88k,68.0989u
,,114.9k,70.45954u
,,114.92k,75.03305u
,,114.94k,79.20448u
,,114.96k,81.69284u
,,114.98k,84.61448u
,,115k,87.85603u
,,115.02k,88.98464u
,,115.04k,83.50149u
,,115.06k,75.81227u
,,115.08k,78.08878u
,,115.1k,88.3211u
,,115.12k,95.23662u
,,115.14k,96.97831u
,,115.16k,98.2264u
,,115.18k,102.7747u
,,115.2k,111.2727u
,,115.22k,117.8783u
,,115.24k,118.01u
,,115.26k,115.8505u
,,115.28k,117.9156u
,,115.3k,120.558u
,,115.32k,118.7917u
,,115.34k,122.1619u
,,115.36k,135.2235u
,,115.38k,147.6562u
,,115.4k,152.7122u
,,115.42k,152.3162u
,,115.44k,150.8803u
,,115.46k,151.748u
,,115.48k,155.5203u
,,115.5k,157.7179u
,,115.52k,155.3578u
,,115.54k,154.8149u
,,115.56k,160.4086u
,,115.58k,167.5323u
,,115.6k,172.4252u
,,115.62k,170.3363u
,,115.64k,163.5687u
,,115.66k,161.1228u
,,115.68k,162.8432u
,,115.7k,166.659u
,,115.72k,171.1804u
,,115.74k,174.0001u
,,115.76k,174.2906u
,,115.78k,171.9222u
,,115.8k,171.0163u
,,115.82k,174.4914u
,,115.84k,179.474u
,,115.86k,183.2682u
,,115.88k,186.9518u
,,115.9k,192.302u
,,115.92k,192.8911u
,,115.94k,183.9125u
,,115.96k,174.6502u
,,115.98k,173.5921u
,,116k,177.5395u
,,116.02k,180.9528u
,,116.04k,181.3011u
,,116.06k,178.9456u
,,116.08k,179.153u
,,116.1k,183.1401u
,,116.12k,186.2518u
,,116.14k,187.5886u
,,116.16k,187.8535u
,,116.18k,187.084u
,,116.2k,186.0155u
,,116.22k,184.8169u
,,116.24k,185.115u
,,116.26k,187.7475u
,,116.28k,188.2698u
,,116.3k,186.1517u
,,116.32k,187.2697u
,,116.34k,189.7591u
,,116.36k,187.4839u
,,116.38k,183.2383u
,,116.4k,182.6163u
